"c";"k";"activation";"batch_size";"units";"epochs";"rmse"
8;3;"softmax";1;64;10;0,153584902649173
8;3;"softmax";7;1;1;0,581137678374495
8;3;"softmax";7;1;5;0,144100138189625
8;3;"softmax";7;1;10;0,144886511308101
8;3;"softmax";7;8;1;0,140340472868258
8;3;"softmax";7;8;5;0,146309488808057
8;3;"softmax";7;8;10;0,14603941286842
8;3;"softmax";7;16;1;0,137982189306655
8;3;"softmax";7;16;5;0,145669140367319
8;3;"softmax";7;16;10;0,14579893784248
8;3;"softmax";7;32;1;0,137931047177322
8;3;"softmax";7;32;5;0,145328270496434
8;3;"softmax";7;32;10;0,145309588370151
8;3;"softmax";7;64;1;0,137219552267921
8;3;"softmax";7;64;5;0,145148873081374
8;3;"softmax";7;64;10;0,145158653766184
8;3;"softmax";30;1;1;0,312595185909348
8;3;"softmax";30;1;5;0,146842599679969
8;3;"softmax";30;1;10;0,142145842171563
8;3;"softmax";30;8;1;0,253991608302507
8;3;"softmax";30;8;5;0,142657003193266
8;3;"softmax";30;8;10;0,142781045835002
8;3;"softmax";30;16;1;0,232588505270662
8;3;"softmax";30;16;5;0,141458598578666
8;3;"softmax";30;16;10;0,142631794572907
8;3;"softmax";30;32;1;0,199093913580716
8;3;"softmax";30;32;5;0,140210484126135
8;3;"softmax";30;32;10;0,142518602001399
8;3;"softmax";30;64;1;0,219105513915561
8;3;"softmax";30;64;5;0,140895198914777
8;3;"softmax";30;64;10;0,142523678263171
8;3;"relu";1;1;1;0,148908235642938
8;3;"relu";1;1;5;0,148911805454552
8;3;"relu";1;1;10;0,148911805454552
8;3;"relu";1;8;1;NA
8;3;"relu";1;8;5;NA
8;3;"relu";1;8;10;0,148909889895438
8;3;"relu";1;16;1;NA
8;3;"relu";1;16;5;NA
8;3;"relu";1;16;10;3,0224667055239
8;3;"relu";1;32;1;NA
8;3;"relu";1;32;5;NA
8;3;"relu";1;32;10;NA
8;3;"relu";1;64;1;NA
8;3;"relu";1;64;5;NA
8;3;"relu";1;64;10;NA
8;3;"relu";7;1;1;0,144272070186682
8;3;"relu";7;1;5;0,142703461489192
8;3;"relu";7;1;10;0,142708965272449
8;3;"relu";7;8;1;NA
8;3;"relu";7;8;5;NA
8;3;"relu";7;8;10;0,142708889476035
8;3;"relu";7;16;1;0,191248251256919
8;3;"relu";7;16;5;5121379371186,38
8;3;"relu";7;16;10;120,101881575852
8;3;"relu";7;32;1;0,394735538741037
8;3;"relu";7;32;5;3625098109739059712
8;3;"relu";7;32;10;NA
8;3;"relu";7;64;1;0,476150739883512
8;3;"relu";7;64;5;NA
8;3;"relu";7;64;10;NA
8;3;"relu";30;1;1;0,248330153291474
8;3;"relu";30;1;5;0,137840945156278
8;3;"relu";30;1;10;0,141536605053952
8;3;"relu";30;8;1;0,235606112442891
8;3;"relu";30;8;5;0,144598150320141
8;3;"relu";30;8;10;0,136552694194429
8;3;"relu";30;16;1;0,141447142059443
8;3;"relu";30;16;5;345605,223915711
8;3;"relu";30;16;10;NA
8;3;"relu";30;32;1;0,140678154527768
8;3;"relu";30;32;5;0,569318766083695
8;3;"relu";30;32;10;299377743182,762
8;3;"relu";30;64;1;0,138528541237421
8;3;"relu";30;64;5;0,137060364301086
8;3;"relu";30;64;10;1146723514367420
8;3;"tanh";1;1;1;0,261485895255097
8;3;"tanh";1;1;5;0,14500958806315
8;3;"tanh";1;1;10;0,110610788372648
8;3;"tanh";1;8;1;0,162279241010253
8;3;"tanh";1;8;5;0,157784447803204
8;3;"tanh";1;8;10;0,131145812515216
8;3;"tanh";1;16;1;0,189173570072656
8;3;"tanh";1;16;5;0,157586238752161
8;3;"tanh";1;16;10;0,183891590975974
8;3;"tanh";1;32;1;0,202308586168577
8;3;"tanh";1;32;5;0,169503174366987
8;3;"tanh";1;32;10;0,364765571636317
8;3;"tanh";1;64;1;0,195753031839821
8;3;"tanh";1;64;5;0,155028157251761
8;3;"tanh";1;64;10;0,271082911183893
8;3;"tanh";7;1;1;0,146870441883798
8;3;"tanh";7;1;5;0,150991753085301
8;3;"tanh";7;1;10;0,152210670865326
8;3;"tanh";7;8;1;0,15507339941862
8;3;"tanh";7;8;5;0,12550134123238
8;3;"tanh";7;8;10;0,130002099039937
8;3;"tanh";7;16;1;0,234489996431475
8;3;"tanh";7;16;5;0,140726823574665
8;3;"tanh";7;16;10;0,144889292494528
8;3;"tanh";7;32;1;0,296639435441496
8;3;"tanh";7;32;5;0,169738148097528
8;3;"tanh";7;32;10;0,15253066046327
8;3;"tanh";7;64;1;0,295825349474617
8;3;"tanh";7;64;5;0,183360865455778
8;3;"tanh";7;64;10;0,190144814632117
8;3;"tanh";30;1;1;0,214126971011272
8;3;"tanh";30;1;5;0,147220312972058
8;3;"tanh";30;1;10;0,143311735347248
8;3;"tanh";30;8;1;0,145085390707786
8;3;"tanh";30;8;5;0,139043761252785
8;3;"tanh";30;8;10;0,129269441059912
8;3;"tanh";30;16;1;0,140564642342097
8;3;"tanh";30;16;5;0,137810677332262
8;3;"tanh";30;16;10;0,114352518223682
8;3;"tanh";30;32;1;0,144654726404667
8;3;"tanh";30;32;5;0,125061719303512
8;3;"tanh";30;32;10;0,109415027574144
8;3;"tanh";30;64;1;0,150264424045452
8;3;"tanh";30;64;5;0,110974605689561
8;3;"tanh";30;64;10;0,115782516536776
