"c";"k";"activation";"batch_size";"units";"epochs";"rmse"
8;2;"tanh";1;16;10;0,142482627150578
8;2;"tanh";1;32;1;0,179271658480451
8;2;"tanh";1;32;5;0,155393406842855
8;2;"tanh";1;32;10;0,14530844374919
8;2;"tanh";1;64;1;0,186213876131231
8;2;"tanh";1;64;5;0,161116644078779
8;2;"tanh";1;64;10;0,147797171804356
8;2;"tanh";7;1;1;0,123763022176032
8;2;"tanh";7;1;5;0,142850898532477
8;2;"tanh";7;1;10;0,120972169986496
8;2;"tanh";7;8;1;0,13961344090854
8;2;"tanh";7;8;5;0,11247413208837
8;2;"tanh";7;8;10;0,108880429858285
8;2;"tanh";7;16;1;0,124915911710411
8;2;"tanh";7;16;5;0,110294376392501
8;2;"tanh";7;16;10;0,108539255502124
8;2;"tanh";7;32;1;0,153089138657631
8;2;"tanh";7;32;5;0,120964439059897
8;2;"tanh";7;32;10;0,113287047320742
8;2;"tanh";7;64;1;0,167853044390078
8;2;"tanh";7;64;5;0,111594641567435
8;2;"tanh";7;64;10;0,113535715313494
8;2;"tanh";30;1;1;0,2747943373694
8;2;"tanh";30;1;5;0,123939718137208
8;2;"tanh";30;1;10;0,140218762898886
8;2;"tanh";30;8;1;0,157649107271402
8;2;"tanh";30;8;5;0,112701917542301
8;2;"tanh";30;8;10;0,117887452555579
8;2;"tanh";30;16;1;0,122313481142084
8;2;"tanh";30;16;5;0,114203931111099
8;2;"tanh";30;16;10;0,1084921292609
8;2;"tanh";30;32;1;0,113953531756391
8;2;"tanh";30;32;5;0,109165035870861
8;2;"tanh";30;32;10;0,111239850275527
8;2;"tanh";30;64;1;0,147914709823196
8;2;"tanh";30;64;5;0,110257948390405
8;2;"tanh";30;64;10;0,111391475448847
8;3;"softmax";1;1;1;0,151402556751263
8;3;"softmax";1;1;5;0,154502010926214
8;3;"softmax";1;1;10;0,15450665658513
8;3;"softmax";1;8;1;0,158960300533359
8;3;"softmax";1;8;5;0,112575957594401
8;3;"softmax";1;8;10;0,111587602380833
8;3;"softmax";1;16;1;0,155796440820707
8;3;"softmax";1;16;5;0,11062323253099
8;3;"softmax";1;16;10;0,108840099806307
8;3;"softmax";1;32;1;0,156595924691364
8;3;"softmax";1;32;5;0,109241342572867
8;3;"softmax";1;32;10;0,106400030334791
8;3;"softmax";1;64;1;0,156528456271915
8;3;"softmax";1;64;5;0,106981712096314
8;3;"softmax";1;64;10;0,105545987431605
8;3;"softmax";7;1;1;0,13930045154678
8;3;"softmax";7;1;5;0,137072791032125
8;3;"softmax";7;1;10;0,145342918085366
8;3;"softmax";7;8;1;0,146329473959012
8;3;"softmax";7;8;5;0,143592314415485
8;3;"softmax";7;8;10;0,127819061954912
8;3;"softmax";7;16;1;0,140836394098138
