"c";"k";"o";"batch_size";"units";"epochs";"rmse"
8;2;5;30;1;1;0,219799820558593
8;2;5;30;1;5;0,143824241738466
8;2;5;30;1;10;0,140774078887334
8;2;5;30;8;1;0,150870674265697
8;2;5;30;8;5;0,140631499446911
8;2;5;30;8;10;0,13405557798894
8;2;5;30;16;1;0,142542750795321
8;2;5;30;16;5;0,136922656716254
8;2;5;30;16;10;0,13776752336868
8;2;5;30;32;1;0,144758349778785
8;2;5;30;32;5;0,130195268520717
8;2;5;30;32;10;0,142875689376956
8;3;1;1;1;1;0,155093109233527
8;3;1;1;1;5;0,122629340375697
8;3;1;1;1;10;0,122002033721588
8;3;1;1;8;1;0,202931355566759
8;3;1;1;8;5;0,180484217196666
8;3;1;1;8;10;0,157265050790535
8;3;1;1;16;1;0,194207604621094
8;3;1;1;16;5;0,165958444585501
8;3;1;1;16;10;0,236222138591754
8;3;1;1;32;1;0,193659316801117
8;3;1;1;32;5;0,17271854343399
8;3;1;1;32;10;0,187378406433828
8;3;1;7;1;1;0,151952336325253
8;3;1;7;1;5;0,150996715695566
8;3;1;7;1;10;0,123033225119175
8;3;1;7;8;1;0,15656128085531
8;3;1;7;8;5;0,134422561752532
8;3;1;7;8;10;0,142881406798615
8;3;1;7;16;1;0,212219857298901
8;3;1;7;16;5;0,154420898121839
8;3;1;7;16;10;0,155184930293804
8;3;1;7;32;1;0,298432269393176
8;3;1;7;32;5;0,155864547411525
8;3;1;7;32;10;0,158987913604823
8;3;1;30;1;1;0,22119514799993
8;3;1;30;1;5;0,14594819220785
8;3;1;30;1;10;0,143984812659754
8;3;1;30;8;1;0,143910556659106
8;3;1;30;8;5;0,137095177085336
8;3;1;30;8;10;0,138591483614143
8;3;1;30;16;1;0,139353844297041
8;3;1;30;16;5;0,13473867207211
8;3;1;30;16;10;0,110317140787668
8;3;1;30;32;1;0,146404431486106
8;3;1;30;32;5;0,125344003043776
8;3;1;30;32;10;0,107626165270702
8;3;3;1;1;1;0,14439841150339
8;3;3;1;1;5;0,129547503047517
8;3;3;1;1;10;0,12614943552356
8;3;3;1;8;1;0,252445407310698
8;3;3;1;8;5;0,157303252510787
8;3;3;1;8;10;0,151839433892587
8;3;3;1;16;1;0,242251283583703
8;3;3;1;16;5;0,189537970393093
8;3;3;1;16;10;0,163128993859539
8;3;3;1;32;1;0,265073154998131
8;3;3;1;32;5;0,200453314171058
8;3;3;1;32;10;0,181496906601167
8;3;3;7;1;1;0,142624846733313
8;3;3;7;1;5;0,147773924916024
8;3;3;7;1;10;0,140421558222927
8;3;3;7;8;1;0,147666022906144
8;3;3;7;8;5;0,157639260813559
8;3;3;7;8;10;0,147513127116159
8;3;3;7;16;1;0,194439079082543
8;3;3;7;16;5;0,145348171470421
8;3;3;7;16;10;0,162386854641961
8;3;3;7;32;1;0,226516293044824
8;3;3;7;32;5;0,158180730304343
8;3;3;7;32;10;0,188437741055967
8;3;3;30;1;1;0,271372374158348
8;3;3;30;1;5;0,140724780201811
8;3;3;30;1;10;0,135784448793984
8;3;3;30;8;1;0,145643493564663
8;3;3;30;8;5;0,138997427696417
8;3;3;30;8;10;0,138133551326179
8;3;3;30;16;1;0,139183374833284
8;3;3;30;16;5;0,137015121686388
